                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.649,                 1.6159,                 1.0833,                0.79753,                0.38432,                0.40574,                0.21746,                 1.5326,                 1.1154,                 1.0376,             0.00036739,             0.00036739,             0.00036739
                      2,                 1.5793,                 1.1458,                 1.0625,                0.78433,                0.33542,                 0.3565,                0.18174,                  1.708,                 1.3473,                 1.1281,             0.00073042,             0.00073042,             0.00073042
                      3,                 1.5681,                  1.123,                 1.0675,                0.78701,                0.36316,                 0.4236,                0.21812,                 1.5763,                 1.3128,                 1.0823,              0.0010861,              0.0010861,              0.0010861
                      4,                 1.5662,                 1.0717,                 1.0643,                0.62771,                0.35283,                0.40837,                 0.2202,                 1.5377,                 1.1591,                 1.0844,               0.001078,               0.001078,               0.001078
                      5,                 1.4982,                  0.998,                 1.0409,                0.77197,                0.43015,                0.48349,                0.26182,                 1.4408,                0.94015,                 1.0406,               0.001078,               0.001078,               0.001078
                      6,                 1.4702,                0.96027,                 1.0365,                0.74709,                0.38957,                0.47686,                0.25234,                 1.5307,                  1.074,                 1.0778,               0.001067,               0.001067,               0.001067
                      7,                 1.4577,                0.95088,                 1.0295,                0.73363,                0.49825,                0.56004,                0.31623,                 1.4027,                 0.9357,                 1.0182,               0.001056,               0.001056,               0.001056
                      8,                 1.4556,                0.92008,                 1.0201,                0.80357,                0.47663,                0.54106,                0.29997,                 1.4326,                0.91029,                 1.0261,               0.001045,               0.001045,               0.001045
                      9,                 1.3912,                0.86462,                 1.0054,                 0.6156,                0.52098,                0.57008,                0.32084,                 1.3767,                0.85151,                 1.0016,               0.001034,               0.001034,               0.001034
                     10,                 1.3856,                0.84658,                 1.0094,                0.70276,                0.51736,                0.56085,                   0.31,                 1.4708,                0.97754,                 1.0539,               0.001023,               0.001023,               0.001023
                     11,                 1.3492,                0.81641,                0.99543,                0.74916,                0.58901,                0.64891,                0.38486,                 1.3292,                0.84054,                0.99411,               0.001012,               0.001012,               0.001012
                     12,                 1.3534,                0.80792,                0.99958,                0.85679,                 0.6023,                0.69594,                0.40747,                 1.3393,                0.78178,                0.99012,               0.001001,               0.001001,               0.001001
                     13,                 1.3379,                0.79184,                0.98167,                0.68707,                0.61769,                0.64932,                0.39262,                 1.3099,                 0.7834,                0.98918,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.3692,                0.78463,                0.98841,                0.74711,                0.58003,                0.62827,                0.38108,                 1.3693,                0.81722,                0.99703,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.3159,                0.76312,                0.98544,                0.71126,                0.65166,                0.68876,                0.41521,                 1.2794,                0.73327,                0.97408,             0.00096801,             0.00096801,             0.00096801
